le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j0): 39.58
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j1): 36.58
le2m | 19/12/2015 - 10:35:07 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:35:07 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:35:14 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:35:14 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:35:14 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:35:14 | INFO | 201512191008_g_0    4.25
le2m | 19/12/2015 - 10:35:14 | INFO | Période 8
le2m | 19/12/2015 - 10:35:14 | INFO | Période 8
le2m | 19/12/2015 - 10:35:14 | INFO | run_func: newperiod
